_step,val/box_loss,val/moe_loss,_runtime,train/cls_loss,epoch,train/moe_loss,mAP50-95,mAP50,train/box_loss,val/cls_loss,_timestamp
126,1.29549,0,7847.001493375,0.94909,126,1.0,0.1953,0.33574,1.33264,0.94055,1784821185.3277485
127,1.29532,0,7908.315201231,0.9548,127,1.0,0.19535,0.33577,1.33928,0.94018,1784821246.6908448
128,1.29489,0,7994.705706705,0.95478,128,1.00001,0.19568,0.33633,1.33906,0.93955,1784821308.0046027
129,1.2948,0,8056.06559343,0.95179,129,0.99999,0.1959,0.33638,1.33811,0.93926,1784821394.395047
130,1.29424,0,8117.105178607,0.94895,130,1.0,0.19577,0.33651,1.33541,0.93887,1784821455.7548947
131,1.29377,0,8178.355625819,0.94613,131,1.0,0.19578,0.33638,1.34209,0.93862,1784821516.794506
132,1.29335,0,8239.664763738,0.9395,132,1.0,0.19581,0.33642,1.33232,0.93826,1784821578.0448937
133,1.2929,0,8300.973909157,0.94664,133,1.0,0.19558,0.33659,1.33781,0.9379,1784821639.3540907
134,1.29227,0,8362.322228906,0.94179,134,1.0,0.1956,0.33634,1.333,0.93729,1784821700.6633103
135,1.29186,0,8423.576666095,0.94459,135,1.0,0.19578,0.33674,1.33923,0.93702,1784821762.0116298
136,1.2915,0,8484.667957438,0.93543,136,1.0,0.19595,0.33617,1.32723,0.93666,1784821823.265994
137,1.2914,0,8546.734049802,0.93437,137,1.0,0.19584,0.33628,1.32405,0.93655,1784821884.3572047
138,1.29128,0,8609.336580836,0.93992,138,1.0,0.19592,0.33676,1.33333,0.93652,1784821946.4231148
139,1.29098,0,8672.052952116,0.93027,139,1.0,0.19582,0.33664,1.32042,0.93621,1784822009.0256867
140,1.29087,0,8734.657082508,0.93132,140,1.0,0.19596,0.33672,1.32357,0.93602,1784822071.7422512
141,1.29064,0,8797.521191777,0.93087,141,1.0,0.19586,0.33674,1.32608,0.93566,1784822134.3463132
142,1.29049,0,8860.265157513,0.9327,142,1.0,0.19599,0.33708,1.32273,0.93552,1784822197.2105045
143,1.29025,0,8923.288518406,0.92703,143,1.0,0.19599,0.33706,1.32625,0.93529,1784822259.9544578
144,1.29006,0,8985.945538546,0.92942,144,1.0,0.19613,0.33721,1.32956,0.935,1784822322.9778047
145,1.28983,0,9080.254494635,0.92031,145,1.0,0.19613,0.3372,1.31312,0.93464,1784822385.6348193
146,1.2899,0,9143.005929129,0.91374,146,1.0,0.1962,0.33738,1.30996,0.9345,1784822479.943851
147,1.28978,0,9205.509226416,0.92894,147,1.0,0.19626,0.33737,1.32754,0.93431,1784822542.6952548
148,1.28964,0,9268.279480359,0.92032,148,1.0,0.1963,0.33751,1.31782,0.93422,1784822605.1985474
149,1.28957,0,9330.792806311,0.92339,149,1.0,0.19632,0.33772,1.32249,0.93415,1784822667.968812
150,1.2895,0,9393.466095022,0.91361,150,1.0,0.19642,0.33784,1.30672,0.93404,1784822730.4821048
151,1.28953,0,9455.928400384,0.91755,151,1.0,0.19638,0.33779,1.31449,0.93402,1784822793.155444
152,1.28951,0,9518.418682455,0.91937,152,1.0,0.19641,0.33791,1.31449,0.93402,1784822855.617667
153,1.28941,0,9581.042714209,0.9124,153,1.0,0.19641,0.33786,1.30719,0.93394,1784822918.1080334
